Colon;Denmark;Finland;Norway;Sweden;Denmark;Finland;Norway;Sweden
1971-1975;83.5[80.3-86.8];84.4[80.5-88.4]*;89.2[86.6-91.8];87.4[85.4-89.5]*;91.5[89.4-93.7];91.9[89.4-94.5];94.8[92.8-96.8];93.9[92.6-95.3]*
1976-1980;86.6[84.2-89.2];90.1[87.3-93.0];87.9[85.4-90.4]*;92.0[90.5-93.5]*;93.4[91.8-95.0]*;94.0[92.1-96.0];95.5[94.1-96.9];96.5[95.6-97.5]
1981-1985;88.6[86.5-90.8];91.6[89.3-94.0];92.0[90.2-93.8];94.3[93.2-95.4];95.7[94.5-96.9];95.3[93.9-96.8];96.4[95.3-97.5]*;96.0[95.1-96.8]*
1986-1990;90.7[89.0-92.5]*;93.7[91.9-95.4];92.5[91.0-93.9];95.0[94.1-96.0]*;95.4[94.3-96.5];96.3[95.1-97.6];98.0[97.2-98.8];97.3[96.6-97.9]
1991-1995;93.1[91.7-94.5]*;93.1[91.5-94.8]*;93.8[92.7-95.0];96.1[95.3-96.9];96.5[95.6-97.5]*;96.5[95.3-97.7];97.4[96.6-98.2];97.7[97.1-98.3]
1996-2000;94.6[93.4-95.7];95.3[94.0-96.7];94.5[93.4-95.6];95.5[94.7-96.2];97.9[97.1-98.7];96.6[95.5-97.6];97.1[96.3-97.9];97.4[96.8-98.0]
2001-2005;95.5[94.6-96.5];93.1[91.8-94.4]*;94.4[93.4-95.4];95.4[94.7-96.1]*;96.9[96.2-97.6]*;97.5[96.7-98.3];97.0[96.3-97.8];97.5[96.9-98.0]
2006-2010;96.0[95.3-96.8]*;95.3[94.3-96.2];94.1[93.2-95.0]*;96.5[96.0-97.1]*;97.9[97.4-98.5]*;98.2[97.6-98.8];97.2[96.5-97.8]*;98.0[97.6-98.4]*
2011-2015;97.4[96.9-98.0]*;95.5[94.7-96.3]*;96.1[95.5-96.8]*;97.9[97.5-98.2]*;98.7[98.3-99.1]*;98.6[98.2-99.1];98.2[97.8-98.7];98.5[98.2-98.8]
2016-2020;98.6[98.2-99.0];97.5[97.0-98.1];97.6[97.1-98.1];98.4[98.1-98.7];99.3[99.0-99.6];98.4[98.0-98.9];98.7[98.4-99.1];98.8[98.5-99.0]
